Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000B0T5AFWsoHNIvZehy2,21/11/2025,10:57:33,Card payment,Transport for London,🚆,Transport,-7.00,GBP,-7.00,GBP,"Travel charge for Thursday, 20 Nov",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-7.00,
tx_0000B0hR3oGCCXA27fX8mQ,28/11/2025,09:08:51,Faster payment,RANADIVE R,,Transfers,1950.00,GBP,1950.00,GBP,Monzo-FGFJQ,,,Monzo-FGFJQ,,,1950.00
tx_0000B0hR8MY0fD6EPwNjX7,28/11/2025,09:09:40,Pot transfer,Savings Pot,,Savings,-1950.00,GBP,-1950.00,GBP,,,,,,-1950.00,
tx_0000B0hkBE8GJ3sKqqsuCf,28/11/2025,12:43:05,Card payment,Transport for London,🚆,Transport,-7.00,GBP,-7.00,GBP,"Travel charge for Thursday, 27 Nov",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-7.00,
tx_0000B0iLH8xKA4gaIpzCeP,28/11/2025,19:38:44,Card payment,Flying Tiger,🛒,General,-4.20,GBP,-4.20,GBP,,22-24 Tottenham Court Road,,FlyingTigerWestfield   London        GBR,,-4.20,
tx_0000B0ixzFe0S4rDg0LZq6,29/11/2025,02:52:30,Card payment,Transport for London,🚆,Transport,-4.00,GBP,-4.00,GBP,"Travel charge for Friday, 28 Nov","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-4.00,
tx_0000B0l4i1LxQ9JnpmOfqd,30/11/2025,03:17:15,monzo_paid,,,Bills,-7.00,GBP,-7.00,GBP,,,,Perks,,-7.00,
tx_0000B0lhkVG76CkeHY4qHp,30/11/2025,10:34:41,Card payment,Transport for London,🚆,Transport,-11.10,GBP,-11.10,GBP,"Travel charge for Saturday, 29 Nov",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-11.10,
tx_0000B0lvkel1BPCoC5GE8C,30/11/2025,13:11:35,Card payment,Primark,👕,Shopping,-13.00,GBP,-13.00,GBP,,165 - 169 High Street,,PRIMARK                HOUNSLOW      GBR,,-13.00,
tx_0000B0lw9WWSw7CoiReazz,30/11/2025,13:16:05,Card payment,Primark,👕,Shopping,-51.20,GBP,-51.20,GBP,,165 - 169 High Street,,PRIMARK                HOUNSLOW      GBR,,-51.20,
tx_0000B0mcDEygJ2KzmMqeYb,30/11/2025,21:07:22,Card payment,Bw Gloucester Robinswo,🏨,Holidays,-8.50,GBP,-8.50,GBP,,Robinswood Hill,,BW GLOUCESTER ROBINSWO   GREAT BRITA GBR,,-8.50,
